Title,Year,Genre,Plot,Language,Poster,IMDBRating,Director,Production,Error
Quartier Mozart,1992,35,"The boisterous and cheerful lives of the residents of Cameroon are barely dented by incursions of supernatural power in this humor-filled rendition of traditional folk tales in modern guise. In the story, a cheerfully naughty girl crosses paths with a witch who has the power to satisfy her curiosity about men by changing her into a young man. She then becomes one of the boy suitors for the amorous attentions of a policeman's daughter. Some of the men have unusual names and even odder magical gifts: one of them has the ability to make a man's genitals disappear when he shakes hands with him.",fr,https://image.tmdb.org/t/p/w500/399VYKyl8sBpz3MEDunsyfgAl1z.jpg,5.2,Jean-Pierre Bekolo,Kola Case,
Quattro figli unici,1992,35,,it,https://image.tmdb.org/t/p/w500/n2sCNo3cRkfDHPK9dEmXbEUENWF.jpg,0,Fulvio Wetzl,"Filmalpha, Nuova Dimensione Cinematografica",
Somewhere Near Conakry,1992,"12, 10751, 18","Jacques is of French descent, and Madiou is his West African friend. The two boys are just eleven years old and they have been friends all their lives as they grew up in Conakry, the capital of Guinea. Like their elders, they are completely unprepared for the vicious and violent reign of terror which is soon to sweep this newly independent country, terror which comes at the instigation of the country's unbalanced new leader.",en,https://image.tmdb.org/t/p/w500/lTiAaB6U7l5PN5i4hngsMJVw0P6.jpg,7.5,Françoise Ebrard,"Les Films de l'Ecluse, CNC, Canal+",
In the Name of God,1992,99,"The film explores the campaign waged by the Hindu right-wing organisation Vishva Hindu Parishad to build a Ram temple at the site of the Babri Masjid in Ayodhya, as well as the communal violence that it triggered. A couple of months after Ram ke Naam was released, VHP activists demolished the Babri Masjid in 1992, provoking further violence.",hi,https://image.tmdb.org/t/p/w500/sgq0VUIjQfrTYRUMKlSWmd0kfb0.jpg,8.6,Anand Patwardhan,,
Radha Ka Sangam,1992,18,Radha ka Sangam is based on re-incarnation.  Govinda (Govinda) and Radha (Juhi Chawla) love each other.  They get married but after the marriage things do not go in their favor. A lot of tragic incidents happen in their lives. Govinda gets a jail sentence and Radha is also not well. When Govinda gets out of jail another tragedy strikes. Do they meet in their next birth? What happens next?,hi,https://image.tmdb.org/t/p/w500/87CUhmWTM1bj6ejZfTX9x1EVM6X.jpg,0,Kirti Kumar,Sri Nirmala Devi Productions [IN],
Radio Flyer,1992,18,"A father reminisces about his childhood when he and his younger brother moved to a new town with their mother, her new husband and their dog, Shane. When the younger brother is subjected to physical abuse at the hands of their brutal stepfather, Mike decides to convert their toy trolley, the ""Radio Flyer"", into a plane to fly him to safety.",en,https://image.tmdb.org/t/p/w500/vwS1R7g0g3ru5DDt1lLbLxX2k2J.jpg,6.995,Richard Donner,"Stonebridge Entertainment, Donner/Shuler-Donner Productions, Columbia Pictures",
Rage and Honor,1992,"28, 53, 80","Witnessing a drug deal involving local gang members and cops, an Australian police officer feels he can no longer be just an observer. He joins forces with a local teacher who just happens to be a karate expert and together they try to take back the streets.",en,https://image.tmdb.org/t/p/w500/knBoDOSqflA66wxlWvY44z7yc55.jpg,4.9,Terence H. Winkless,IRS Media,
Raiders of the Sun,1992,"28, 12, 878","Bloodthirsty factions rule the barren earth. It's the 21st Century and a biological disaster has ruined the planet. Here, in a world where gunpowder is more valuable than gold, a few hundred survivors wage the final conflict for power and control. Yet among them rises a new warrior, destined to shape the aeons which will follow -- a man who stops at nothing to achieve his ends, and for whom courage is the only commodity",en,https://image.tmdb.org/t/p/w500/6Pel1zmqmzxQrVwlatILkieSvVE.jpg,3.5,Cirio H. Santiago,Concorde-New Horizons,
The Railway Station Man,1992,"10770, 18, 10749","Northern Irishwoman Helen Cuffe (Julie Christie) is overwhelmed with sadness when her husband is killed by the Irish Republican Army. She and her teen son, Jack (Frank MacCusker), then move to a tiny town and start life anew. There, Helen meets a mysterious American man named Roger Hawthorne (Donald Sutherland), who is in the area to refurbish an old train station. A romance slowly blossoms between Roger and Helen, but Jack then gets involved with a violent political group, and tragedy looms.",en,https://image.tmdb.org/t/p/w500/1EYOeWvYdyjEb9LHp4dMOr8VnL9.jpg,5.5,Michael Whyte,"BBC Film, First Film Company",
Rain Without Thunder,1993,"878, 18","This evocative faux documentary imagines a dystopian near future in which the government monitors every woman's sexual activity. At its center is Allison Golding (Ali Thomas), serving a life sentence for having an abortion. As politicians, journalists and other key figures discuss Allison's case, they reveal how American society reached this totalitarian state.",en,https://image.tmdb.org/t/p/w500/lOVPNlKgup04KtnPoJYyXRDDwgo.jpg,3.5,Gary O. Bennett,,
Raising Cain,1992,"53, 80, 27","Child psychologist Carter Nix is a loving and caring family man, but under this appearance lies a dark and troubled past. Grappling with the consequences of this past on his own psyche and the influence of his returning father and violent brother Cain, Carter becomes involved in a series of murders and kidnappings. Meanwhile, his wife Jenny rekindles an old love affair, placing herself in the crosshairs of her increasingly unstable husband.",en,https://image.tmdb.org/t/p/w500/5vRn138vnZeUNFe32qTuPGKkVLR.jpg,6.1,Brian De Palma,Pacific Western,
Forgotten by God,1990,18,The survivor of a cursed family seeks revenge on the lover who jilted her.,ro,https://image.tmdb.org/t/p/w500/n8bjCWH3iRTdzzjMUf18VHqhwZQ.jpg,5.3,Laurențiu Damian,,
Rapid Fire,1992,"28, 53","College student Jake Lo is pursued by smugglers, mobsters and crooked federal agents after he witnesses a murder by a Mafia kingpin.",en,https://image.tmdb.org/t/p/w500/sjZ3eS5Cvi7aS6nf4qwcTL2NS6P.jpg,6.4,Dwight H. Little,"20th Century Fox, Robert Lawrence Productions",
Rebecca's Daughters,1992,"35, 18","Young aristocrat Anthony Raine returns home from India to find the farmers of Pembrokeshire protesting about the rates of a tollgate run by The Whitman Turnpike Trust, headed by the drunken Lord Sarn. So Raine dons a mask and, calling himself Rebecca, instructs his followers to dress as women as they attack the tolls, leading the common people to victory over their masters.",en,https://image.tmdb.org/t/p/w500/h1D9tlGvDe1ZWgzu1IO5DIp9bBy.jpg,6,Karl Francis,,
A Child by November,1992,"35, 10749","Dasha thirty years, she was finally disappointed in men and wants to bring child into world from a very handsome guy with good genes. She succeeded to search a firm in that rendered similar services, but from this undertaking nothing went out. During the searches of donor Dasha meets with a good, cute fellow, specialist on repair of televisions. He falls in love in Dasha, but her it seems to that a fellow not fully conforms to her requirements.",ru,https://image.tmdb.org/t/p/w500/l8NbIuL85TK6O4BRXKTnFRRh9kK.jpg,7.7,Aleksandr Pavlovskiy,"Film Studio Arkadiya, Odesa Film Studio",
Redheads,1992,53,"Lucy is apparently very confident, and quite ""forward,"" as the saying used to be; she has made all the moves to pick up a staid lawyer-type for sex. Once back at her apartment, she sets a video camera going to record their coupling. However, someone breaks into the place while they are having at it, and she is barely able to leave the bed and hide before her sex-partner is killed. She never sees the intruder's face herself. In the aftermath, the terrified lass finds herself with a sympathetic female state-appointed attorney (since she's the obvious suspect) and together, they try to track down the murderer.",en,https://image.tmdb.org/t/p/w500/wGDmnw9ACqWk18r4ts5pRJx3wmh.jpg,5,Danny Vendramini,Australian Film Finance Corporation,
La reina anónima,1992,35,"Anna Luz, a married woman, rethinks her life when she receives the visit of a stranger who claims to be her neighbor from the floor below. His arrival coincides with the entry of a series of extravagant characters who, as in a dream, invade his house. Ana is then immersed in this succession of strange and wonderful events that will forever ruin what until then was a normal life.",es,https://image.tmdb.org/t/p/w500/zr7YpHrDrEP1C77VMM8jbnw4UFb.jpg,4.6,Gonzalo Suárez,Ditirambo Films,
Die Reise von Petersburg nach Moskau,1992,99,Documentary film.,de,N/A,0,Viola Stephan,,
Requiem for a Handsome Bastard,1992,"18, 80","Despite the fact that he is completely unrepentant about his crimes, when Regis Savoie's son asks to visit him, prison authorities grant permission for the boy to come. The thief and murderer (Gildor Roy) takes advantage of the moment of his son's arrival to steal a gun and take flight. He settles some old scores, gets together with his girlfriend, and heads for the hills, pursued by a detective who is not to be swayed in his efforts to follow and recapture him.",fr,https://image.tmdb.org/t/p/w500/zZDtmj8sIHPmc0WWd1DC3WZ3Hpm.jpg,7.2,Robert Morin,"TVA Films, Coop Vidéo de Montréal, Lux Films",
Reservoir Dogs,1992,"80, 53","A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.",en,https://image.tmdb.org/t/p/w500/xi8Iu6qyTfyZVDVy60raIOYJJmk.jpg,8.1,Quentin Tarantino,"Live Entertainment, Dog Eat Dog Productions",
Resistance,1992,"28, 878","Over the five days after a military coup, army troops arrive to enforce martial law and encounter a growing resistance movement.",en,https://image.tmdb.org/t/p/w500/xQYre7gDrePltnqh64qe1nNxslo.jpg,5,Paul Elliott,"Macau Light Company, Australian Film Finance Corporation, Australian Film Commission, Wingjar Pty Ltd, Workers Power Pty Ltd",
The Return of Casanova,1992,"10749, 35, 18","After many years of rambling across Europe the aging Giacomo Casanova is impoverished. He wants to return to the Republic of Venice but he doesn't dare going there directly because he was a fugitive when he left. While he tries to find a way to get a pardon he meets a young lady named Marcelina. The more he shows his affection, the more ostentatiously she rejects him. Even so he doesn't give up on her because her lover Lorenzo has grave gaming debts. In return for the required money Lorenzo tells Casanova about a looming secret rendezvous with Marcelina. Moreover he lets Casanova take his place. Undercover of the night Casanova finally seduces her. Lorenzo later feels his honor was besmirched and demands satisfaction. Casanova kills him in a duel and then goes home to Venice.",fr,https://image.tmdb.org/t/p/w500/cnWR4huwfUjKZUw0eOsBEd655Nn.jpg,5.5,Edouard Niermans,"Les Films Alain Sarde, Films A2, Canal+",
The Charlots Return,1992,35,"Antonio returned to Portugal ten years ago with his lovely (and quite thin) French wife. She has since become quite a hefty specimen of womanhood, and his eye has lately been wandering to others. When his strong-tempered wife catches him with another woman (their neighbor), she bonks him on the head. In order to avoid further embarrassment, he pretends this has induced amnesia. He does so well in his pretense that his worried wife calls his old Parisian buddies (the rest of the Charlots) and asks them to come and help revive his memory.",fr,https://image.tmdb.org/t/p/w500/ct0IoCo9wxZPIA8BHDt5Q3EOoCZ.jpg,4.2,Jean Sarrus,"Les Films Christian Ardan, TF1 Films Production, Les Productions Belles Rives, PROCIREP",
Return from Death: Frankenstein 2000,1991,27,"When a woman is beaten into a coma and saved from being raped by her handyman (Donald O'Brien), the local security force does a cover-up to save the town's reputation and frames the saviour. After he hangs himself, the woman's strange comatose psi-powers revive him from the dead to exact revenge.",en,https://image.tmdb.org/t/p/w500/6zZKpFuzfO8ELyovhlHpVPNxQgK.jpg,7.3,Joe D'Amato,Filmirage,
Return to the Lost World,1992,"28, 14, 27, 878","A young journalist and his two travel mates, both professors, embark on an expedition to return to a lost world of dinosaurs and primitive men.",en,https://image.tmdb.org/t/p/w500/qwmXy2tMIX0Jq7pc1P9MD3WNEsa.jpg,5.5,Timothy Bond,,
Rich Man,1992,,A triad gangster is sent to prison and there he meets a millionaire who takes him under his wing. When back out he is showered with wealth. There is one problem--he doesn't fit in with his old friends nor his new rich acquaintances.,cn,https://image.tmdb.org/t/p/w500/v3WO8Znw6E51qg6qLBq01otCZ07.jpg,0,Joe Ma,,
Rich in Love,1992,18,"Warren Odom, a rich Southern gentleman, is left in a state of shock when his wife, Helen, leaves him unexpectedly. With Helen gone, Warren's kindhearted teenage daughter, Lucille, cares for him and tries to cheer him up. Warren slowly starts to recover, and begins a relationship with another woman, Vera Delmage. However, his life is complicated when his older daughter, Rae, arrives in town pregnant.",en,https://image.tmdb.org/t/p/w500/zvkFLMNROVLyztEmgRGct76yfQe.jpg,6.9,Bruce Beresford,"MGM-Pathé Communications, Metro-Goldwyn-Mayer, The Zanuck Company",
